app_name,id,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,Year
Fantasy Grounds - Daring Tales of Adventure #01 - To End All Wars & Chaos on Crete (Savage Worlds),504170,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
RoShamBo: Starter Fighter Pack,504350,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2016
SWORDY,467900,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016
Crystal Cosmos,496590,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
Endless Burst,442760,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Rocksmith® 2014 – Pixies  - “Wave of Mutilation”,492942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
The Hidden Dragon,498040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Galactic Civilizations III - Lost Treasures DLC,495370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
The Return Home,502910,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Land It!,45420,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Intrude,495720,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
The Cat! Porfirio's Adventure,492270,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Infectonator: Survivors,269310,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2016
Fantasy Grounds - Darkwoulfe's Token Pack Volume 13,510450,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Hexoscope,495780,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Hexoscope OST,511300,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
The Secret Monster Society Soundtrack,500250,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
UBERMOSH Vol.3,515570,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - Savage Worlds Setting: Pirates,486270,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Lily´s Epic Quest,507270,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Grow Up,426790,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Rocksmith® 2014 – 2010s Mix Song Pack,492957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
GalaxIverse,509390,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
ACE Academy,396650,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2016
AdVenture Communist,462930,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2016
Rossi Ford Focus Rally car 2009,464290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2016
Content Pack - Crusader Kings II: The Reaper's Due,449981,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2016
Mitch: Berry Challenge,480410,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
miniLAW: Ministry of Law,503180,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
New Yankee in King Arthur's Court 2,510110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2016
Plant Fire Department - The Simulation,502440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Fasaria World: Ancients of Moons MMORPG,515800,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - New Gods of Mankind - Anointed: Token Pack - Villagers of Naalrinnon,525750,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Graveyard Smash,504240,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
God‘s One Day World - Original Soundtrack,501890,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Rocksmith® 2014 – Staind - “So Far Away”,492970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
DOGOS,507050,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Football Mogul 15,514010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2014
Pixel Puzzles Ultimate - Puzzle Pack: Korea,480593,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016
Tomoyo After - Original Soundtrack,518710,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2005
Mystery Chronicle: One Way Heroics,409000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Boulder Dash - 30th Anniversary,502320,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
BioShock™ 2 Remastered,409720,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Rustangelo PRO (Advanced),528310,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016
Lew Pulsipher's Doomstar,504750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
Woodle Tree 2: Worlds,495350,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016
CODE OF PRINCESS - Original Soundtrack,471870,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Rocksmith® 2014 – Misfits - “Last Caress”,492977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Astroflux,489560,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016
Pixel Puzzles Ultimate - Puzzle Pack: Reptile,535720,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016
Pixel Puzzles Ultimate - Puzzle Pack: Jigsaw,524420,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2016
Security Hole,503460,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - Bro Country Song Pack,535733,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - One Direction I Song Pack,535739,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Anykey Simulator,513530,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Particle Fleet: Emergence,422900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
Slightly Magic - Desktop Wallpapers,521121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Honey Rose - 2016 Standard Tier,527405,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
Armies of Riddle CCG Fantasy Battle Card Game,527040,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2014
FourChords Guitar Karaoke - Shinedown Song Pack,537160,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Dungetris - Soundtrack!,537250,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - Adele Song Pack,537261,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
AquaNimble,498380,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
MegaTagmension Blanc Deluxe Pack,530580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Alien,524270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Sentry Knight Tactics,503210,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
FourChords Guitar Karaoke - 5 Seconds of Summer Song Pack,537820,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - Breaking Benjamin Song Pack,537823,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - blink-182 Song Pack,537821,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - EDM Essentials I Song Pack,538825,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
FourChords Guitar Karaoke - Brad Paisley Song Pack,538822,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
The Metronomicon - Chiptune Challenge Pack 1,522650,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
Help Me Doctor,538560,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
THOTH,510620,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Sleeping Valley,538590,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Zup! - DLC,542330,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016
Rise of the Tomb Raider 20 Year Celebration Pack,505540,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
BLUE REVOLVER Soundtrack,537670,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Smash Up: Conquer the bases with your factions,446540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
BitMaster,514660,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
BoomTown! Deluxe,536750,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
True Fear: Forsaken Souls,440420,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
A Quiver of Crows,347280,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Bad Caterpillar,447950,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - Slipstream: Heart of Steel (Savage Worlds),544850,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Hired Ops,374280,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Sluggish Morss: Days of the Purple Sun,546440,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Devilian - Labyrinth Pack,542610,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016
Galaxy Reavers: Flames-type Aircraft Carrier DLC,511131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
Elite Dangerous: Cobra MK III Variant Pack,546310,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2016
htoL#NiQ: The Firefly Diary / htoL#NiQ-ホタルノニッキ- - Digital Art Book / デジタル・アートブック,535970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
King's Quest - Chapter 5: The Good Knight,373491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - Trail of the Apprentice: The Oracle's Test,545760,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
OMSI 2 Add-on Rheinhausen,434065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
ALICE VR - Soundtrack,530670,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - Mini-Dungeon #005: The Soularium (5E),547830,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Alien Invasion Tower Defense,547880,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
That's Mahjong!,547310,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
NSFW ~ Not a Simulator For Working,545030,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
Spellweaver - Duke's Zombies Deck,545140,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2016
Memory's Dogma CODE:01,386970,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Izanami's Dream Battle,547730,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
The Spookening,396420,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016
TS Marketplace: ÖBB Sgns Hopper Pack,513091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Football Manager Touch 2017,482750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2016
Football Manager 2017 In-Game Editor,489860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Sector 724,459410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
Fantasy Grounds - Mini-Dungeon #009: Tiikeri's Revenge (5E),550300,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Dawn's Light 2 - Strategy Guide,532100,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Groggers!,536920,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Void & Meddler - Soundtrack Ep. 2,556420,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Merchants & Mercenaries,546870,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
Rocksmith® 2014 Edition – Remastered – Stevie Ray Vaughan & Double Trouble - “Texas Flood”,509660,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Rocksmith® 2014 Edition – Remastered – Stevie Ray Vaughan & Double Trouble - “Cold Shot”,509661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Awesomenauts - Scourge Captain McPain Skin,557000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
ISLANDS: Non-Places,540510,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
ATV Quadracer Ultimate,502350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2016
Weird Hero,490870,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Club Naughty,558870,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2016
Forge of Gods: Dragon Trainer pack,537322,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2016
Pure Hold'em - Plume Card Deck,438902,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2016
Marmoset Toolbag 3,550060,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016
Watch_Dogs® 2,447040,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Junk Jack,414190,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Counter Agents,549090,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016
Halloween Mysteries,547090,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
TS Marketplace: LMS P3 Coaches Pack 03 Add-On,448209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Virtual-O,529020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2016
Yu-Gi-Oh! ARC-V: ARC League Championship,523530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Mystic Diary - Quest for Lost Brother,497020,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Deios II // DEIDIA,495760,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Dream Quest,557410,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
Siralim 2 - Unlock All Skins (Cosmetic Only),560581,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
Santa Rockstar OST,568710,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Kickoff Legends,542940,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2016
Rocksmith® 2014 Edition – Remastered – Creedence Clearwater Revival - “Proud Mary”,509681,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
Incognito - Soundtrack,571190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Fantasy Grounds - Mini-Dungeon #007: The Pententieyrie (PFRPG),563900,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
Tapocalypse,567000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2016
TURGUL: RAPID FIGHTING,538700,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2016
Watch_Dogs® 2 - Home Town Pack,525036,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
Ride 2 Free Bikes Pack 2,562060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2016
Wand Wars - Soundtrack,574400,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016
Vex - World 4 Unlock,574972,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
Bad Dream: Coma,538070,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Dark Cases: The Blood Ruby Collector's Edition,569150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Hellphobia,575000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Way of Hero,581720,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
STARDROP,552880,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Fight Me Bro!,533630,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
My Pet Rock,557830,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,418370,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Rocksmith® 2014 Edition – Remastered – OneRepublic - “Counting Stars”,509705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
TwelveSky 2 Classic,539650,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2017
Fantasy Grounds - Giants (Token Pack),585210,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2017
Fantasy Grounds - Hellfrost Gazetteer (Savage Worlds),587550,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2017
ABZU - Official Soundtrack,577450,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
A House of Many Doors: Soundtrack,587780,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
Tale of Fallen Dragons,570980,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Off-Road Paradise: Trial 4x4,556230,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2016
Rocksmith® 2014 Edition – Remastered – Kenny Loggins - “Footloose”,509715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
Rocksmith® 2014 Edition – Remastered – Twisted Sister - “I Wanna Rock”,509716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
Jump Like A Pirate,581010,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
MiniBotz - SoundTrack,590500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Knot,575990,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
Peak Angle: Drift Online - Japan Cars Pack,591880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
Euro Truck Simulator 2 - Valentine's Paint Jobs Pack,558243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
TS Marketplace: VGA/VKA Wagon Pack Add-On,513106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
Totemori,588180,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017
Zap Zone,572180,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Rock God Tycoon,410840,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
Pixel Puzzles Ultimate - Puzzle Pack: Landscapes XL,591492,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2017
Drawn™: Trail of Shadows Collector's Edition,567240,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Bang Bang Fruit,587810,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Hidden Folks,435400,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Heroes of Arca,588890,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2017
Canvas The Gallery,590280,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2017
Car Mechanic Simulator 2015 - Total Modifications,361840,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2017
Rocket League® - Hot Wheels® Bone Shaker™,457194,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2017
Tales of Berseria™ - Adventure Item Pack 5,565250,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Dark Realm: Queen of Flames Collector's Edition,591470,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
NOBUNAGA’S AMBITION: Sengoku Gunyuuden / 信長の野望・戦国群雄伝,521700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
Bandit Kings of Ancient China / 水滸伝・天命の誓い,521680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
Polterheist,595320,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
Northgard,466560,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2017
Of Light and Darkness,557760,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
The Exiled - Vanguard Pack,530152,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2017
The Inner Darkness,562160,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Midnight at the Celestial Palace: Chapter I,460140,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Hollow Knight,367520,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Torment: Tides of Numenera - Legacy Edition Upgrade,596230,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2017
Slash It 2 - Elexive Exclusive Edition,590480,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
WavePad Audio Editor,580310,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Disturbed - Support DLC,551560,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2017
Tales of Terror: Crimson Dawn,596270,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Tap Adventure: Time Travel,596650,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2017
An Octonaut Odyssey,566320,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
DESYNC: The Original Soundtrack - Volume 1 (Daniel Deluxe),602440,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Witch Hunters: Stolen Beauty Collector's Edition,597280,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
SimAirport,598330,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2017
Rocksmith® 2014 Edition – Remastered – Avril Lavigne - “Complicated”,509734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
Maximum Override,389220,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017
Biosupremacy - Original Soundtrack,606210,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
A Foretold Affair,586670,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
A Foretold Affair - Alternate Outfit DLC,594420,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
